ProteinName,UniProt ID,DiseaseName,UMLS concept ID
Amidophosphoribosyltransferase,Q06203,"Alcoholic Intoxication, Chronic",C0001973
Glutamate decarboxylase 1,Q99259,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-2,P47869,"Alcoholic Intoxication, Chronic",C0001973
Substance-P receptor,P25103,"Alcoholic Intoxication, Chronic",C0001973
D(4) dopamine receptor,P21917,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase 1B,P00325,"Alcoholic Intoxication, Chronic",C0001973
Cholecystokinin receptor type A,P32238,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2B",Q13224,"Alcoholic Intoxication, Chronic",C0001973
Delta-type opioid receptor,P41143,"Alcoholic Intoxication, Chronic",C0001973
Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936,"Alcoholic Intoxication, Chronic",C0001973
Aldo-keto reductase family 1 member C4,P17516,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2A,P28223,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2C",Q14957,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase 1C,P00326,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-5,P31644,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1E,P28566,"Alcoholic Intoxication, Chronic",C0001973
"Aldehyde dehydrogenase X, mitochondrial",P30837,"Alcoholic Intoxication, Chronic",C0001973
Sodium-dependent noradrenaline transporter,P23975,"Alcoholic Intoxication, Chronic",C0001973
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Q07343,"Alcoholic Intoxication, Chronic",C0001973
Serotransferrin,P02787,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase class 4 mu/sigma chain,P40394,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2C,P28335,"Alcoholic Intoxication, Chronic",C0001973
3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405,"Alcoholic Intoxication, Chronic",C0001973
Glyceraldehyde-3-phosphate dehydrogenase,P04406,"Alcoholic Intoxication, Chronic",C0001973
Retinal dehydrogenase 1,P00352,"Alcoholic Intoxication, Chronic",C0001973
Muscarinic acetylcholine receptor M2,P08172,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-1 receptor type 1,P14778,"Alcoholic Intoxication, Chronic",C0001973
D(3) dopamine receptor,P35462,"Alcoholic Intoxication, Chronic",C0001973
3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213,"Alcoholic Intoxication, Chronic",C0001973
Aldo-keto reductase family 1 member C3,P42330,"Alcoholic Intoxication, Chronic",C0001973
Glutamate decarboxylase 2,Q05329,"Alcoholic Intoxication, Chronic",C0001973
Tyrosine 3-monooxygenase,P07101,"Alcoholic Intoxication, Chronic",C0001973
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Q9Y233,"Alcoholic Intoxication, Chronic",C0001973
Kappa-type opioid receptor,P41145,"Alcoholic Intoxication, Chronic",C0001973
72 kDa type IV collagenase,P08253,"Alcoholic Intoxication, Chronic",C0001973
Sodium-dependent dopamine transporter,Q01959,"Alcoholic Intoxication, Chronic",C0001973
"Glutathione reductase, mitochondrial",P00390,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 7,P34969,"Alcoholic Intoxication, Chronic",C0001973
Retinoic acid receptor alpha,P10276,"Alcoholic Intoxication, Chronic",C0001973
Alanine aminotransferase 1,P24298,"Alcoholic Intoxication, Chronic",C0001973
Sex hormone-binding globulin,P04278,"Alcoholic Intoxication, Chronic",C0001973
Thyroid hormone receptor alpha,P10827,"Alcoholic Intoxication, Chronic",C0001973
Tyrosine aminotransferase,P17735,"Alcoholic Intoxication, Chronic",C0001973
"Pyruvate carboxylase, mitochondrial",P11498,"Alcoholic Intoxication, Chronic",C0001973
"Cysteine--tRNA ligase, cytoplasmic",P49589,"Alcoholic Intoxication, Chronic",C0001973
Tumor necrosis factor,P01375,"Alcoholic Intoxication, Chronic",C0001973
Translocator protein,P30536,"Alcoholic Intoxication, Chronic",C0001973
"Histidine--tRNA ligase, cytoplasmic",P12081,"Alcoholic Intoxication, Chronic",C0001973
Sodium-dependent serotonin transporter,P31645,"Alcoholic Intoxication, Chronic",C0001973
Oxytocin-neurophysin 1,P01178,"Alcoholic Intoxication, Chronic",C0001973
D(2) dopamine receptor,P14416,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2A",Q12879,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-6,Q16445,"Alcoholic Intoxication, Chronic",C0001973
Epidermal growth factor receptor,P00533,"Alcoholic Intoxication, Chronic",C0001973
Mu-type opioid receptor,P35372,"Alcoholic Intoxication, Chronic",C0001973
Vasopressin V1b receptor,P47901,"Alcoholic Intoxication, Chronic",C0001973
Glucocorticoid receptor,P04150,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-1,P14867,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1B,P28222,"Alcoholic Intoxication, Chronic",C0001973
Glutathione S-transferase Mu 1,P09488,"Alcoholic Intoxication, Chronic",C0001973
Glutathione S-transferase theta-1,P30711,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 1,Q13255,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, kainate 3",Q13003,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 7,Q14831,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 8,O00222,"Alcoholic Intoxication, Chronic",C0001973
Tyrosine-protein kinase Fyn,P06241,"Alcoholic Intoxication, Chronic",C0001973
Oxytocin receptor,P30559,"Alcoholic Intoxication, Chronic",C0001973
Betaine--homocysteine S-methyltransferase 1,Q93088,"Alcoholic Intoxication, Chronic",C0001973
Neuronal acetylcholine receptor subunit alpha-4,P43681,"Alcoholic Intoxication, Chronic",C0001973
Glucagon-like peptide 1 receptor,P43220,"Alcoholic Intoxication, Chronic",C0001973
Cocaine- and amphetamine-regulated transcript protein,Q16568,"Alcoholic Intoxication, Chronic",C0001973
Protein-tyrosine kinase 2-beta,Q14289,"Alcoholic Intoxication, Chronic",C0001973
C-reactive protein,P02741,"Alcoholic Intoxication, Chronic",C0001973
Alpha-synuclein,P37840,"Alcoholic Intoxication, Chronic",C0001973
Excitatory amino acid transporter 2,P43004,"Alcoholic Intoxication, Chronic",C0001973
Gamma-glutamyltranspeptidase 1,P19440,"Alcoholic Intoxication, Chronic",C0001973
Cyclin-dependent-like kinase 5,Q00535,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-6,P05231,"Alcoholic Intoxication, Chronic",C0001973
Pro-opiomelanocortin,P01189,"Alcoholic Intoxication, Chronic",C0001973
Neuropeptide S receptor,Q6W5P4,"Alcoholic Intoxication, Chronic",C0001973
Pro-epidermal growth factor,P01133,"Alcoholic Intoxication, Chronic",C0001973
Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986,"Alcoholic Intoxication, Chronic",C0001973
Cyclic AMP-responsive element-binding protein 1,P16220,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-8,P10145,"Alcoholic Intoxication, Chronic",C0001973
Spermine synthase,P52788,"Alcoholic Intoxication, Chronic",C0001973
Sphingomyelin phosphodiesterase,P17405,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 2,Q14416,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-12 subunit beta,P29460,"Alcoholic Intoxication, Chronic",C0001973
Transforming growth factor beta-1,P01137,"Alcoholic Intoxication, Chronic",C0001973
Peroxisome proliferator-activated receptor delta,Q03181,"Alcoholic Intoxication, Chronic",C0001973
Fibroblast growth factor 2,P09038,"Alcoholic Intoxication, Chronic",C0001973
Corticoliberin,P06850,"Alcoholic Intoxication, Chronic",C0001973
G protein-activated inward rectifier potassium channel 2,P48051,"Alcoholic Intoxication, Chronic",C0001973
Basement membrane-specific heparan sulfate proteoglycan core protein,P98160,"Alcoholic Intoxication, Chronic",C0001973
von Willebrand factor,P04275,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-1 beta,P01584,"Alcoholic Intoxication, Chronic",C0001973
Angiotensinogen,P01019,"Alcoholic Intoxication, Chronic",C0001973
Glycogen synthase kinase-3 beta,P49841,"Alcoholic Intoxication, Chronic",C0001973
Tyrosine-protein phosphatase non-receptor type 11,Q06124,"Alcoholic Intoxication, Chronic",C0001973
GTPase HRas,P01112,"Alcoholic Intoxication, Chronic",C0001973
Nuclear factor NF-kappa-B p105 subunit,P19838,"Alcoholic Intoxication, Chronic",C0001973
Beta-nerve growth factor,P01138,"Alcoholic Intoxication, Chronic",C0001973
Calcitonin gene-related peptide 1,P06881,"Alcoholic Intoxication, Chronic",C0001973
Excitatory amino acid transporter 1,P43003,"Alcoholic Intoxication, Chronic",C0001973
Apolipoprotein E,P02649,"Alcoholic Intoxication, Chronic",C0001973
"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",P27815,"Alcoholic Intoxication, Chronic",C0001973
Inositol monophosphatase 1,P29218,"Alcoholic Intoxication, Chronic",C0001973
Gastrin/cholecystokinin type B receptor,P32239,"Alcoholic Intoxication, Chronic",C0001973
Hematopoietic prostaglandin D synthase,O60760,"Alcoholic Intoxication, Chronic",C0001973
Fibronectin,P02751,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 5,P41594,"Alcoholic Intoxication, Chronic",C0001973
Cystic fibrosis transmembrane conductance regulator,P13569,"Alcoholic Intoxication, Chronic",C0001973
Tumor necrosis factor receptor superfamily member 5,P25942,"Alcoholic Intoxication, Chronic",C0001973
Equilibrative nucleoside transporter 1,Q99808,"Alcoholic Intoxication, Chronic",C0001973
Catalase,P04040,"Alcoholic Intoxication, Chronic",C0001973
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",P48736,"Alcoholic Intoxication, Chronic",C0001973
Ganglioside GM2 activator,P17900,"Alcoholic Intoxication, Chronic",C0001973
DNA repair protein XRCC4,Q13426,"Alcoholic Intoxication, Chronic",C0001973
Estrogen-related receptor gamma,P62508,"Alcoholic Intoxication, Chronic",C0001973
Catechol O-methyltransferase,P21964,"Alcoholic Intoxication, Chronic",C0001973
Aromatase,P11511,"Alcoholic Intoxication, Chronic",C0001973
Methylenetetrahydrofolate reductase,P42898,"Alcoholic Intoxication, Chronic",C0001973
Fatty-acid amide hydrolase 1,O00519,"Alcoholic Intoxication, Chronic",C0001973
Amine oxidase [flavin-containing] B,P27338,"Alcoholic Intoxication, Chronic",C0001973
Amine oxidase [flavin-containing] A,P21397,"Alcoholic Intoxication, Chronic",C0001973
Adenosine deaminase,P00813,"Alcoholic Intoxication, Chronic",C0001973
Glutamine synthetase,P15104,"Alcoholic Intoxication, Chronic",C0001973
Peptidyl-prolyl cis-trans isomerase G,Q13427,"Alcoholic Intoxication, Chronic",C0001973
Metabotropic glutamate receptor 3,Q14832,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-1,P18505,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-3,P28472,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-2,P47870,"Alcoholic Intoxication, Chronic",C0001973
Cytochrome P450 3A5,P20815,"Alcoholic Intoxication, Chronic",C0001973
Histone deacetylase 2,Q92769,"Alcoholic Intoxication, Chronic",C0001973
Histone deacetylase 6,Q9UBN7,"Alcoholic Intoxication, Chronic",C0001973
Neuromedin-K receptor,P29371,"Alcoholic Intoxication, Chronic",C0001973
Nociceptin receptor,P41146,"Alcoholic Intoxication, Chronic",C0001973
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",P42336,"Alcoholic Intoxication, Chronic",C0001973
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O00329,"Alcoholic Intoxication, Chronic",C0001973
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338,"Alcoholic Intoxication, Chronic",C0001973
Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,"Alcoholic Intoxication, Chronic",C0001973
Neuropeptide Y receptor type 2,P49146,"Alcoholic Intoxication, Chronic",C0001973
Histamine N-methyltransferase,P50135,"Alcoholic Intoxication, Chronic",C0001973
Toll-like receptor 4,O00206,"Alcoholic Intoxication, Chronic",C0001973
Neuropeptide Y receptor type 1,P25929,"Alcoholic Intoxication, Chronic",C0001973
Neuropeptide Y receptor type 5,Q15761,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-10,P22301,"Alcoholic Intoxication, Chronic",C0001973
Glial cell line-derived neurotrophic factor,P39905,"Alcoholic Intoxication, Chronic",C0001973
Gephyrin,Q9NQX3,"Alcoholic Intoxication, Chronic",C0001973
Peroxisomal trans-2-enoyl-CoA reductase,Q9BY49,"Alcoholic Intoxication, Chronic",C0001973
Arylsulfatase A,P15289,"Alcoholic Intoxication, Chronic",C0001973
Pituitary adenylate cyclase-activating polypeptide,P18509,"Alcoholic Intoxication, Chronic",C0001973
Cytochrome P450 2A6,P11509,"Alcoholic Intoxication, Chronic",C0001973
Cellular tumor antigen p53,P04637,"Alcoholic Intoxication, Chronic",C0001973
Growth hormone secretagogue receptor type 1,Q92847,"Alcoholic Intoxication, Chronic",C0001973
Brain-derived neurotrophic factor,P23560,"Alcoholic Intoxication, Chronic",C0001973
Cadherin-5,P33151,"Alcoholic Intoxication, Chronic",C0001973
Folate receptor alpha,P15328,"Alcoholic Intoxication, Chronic",C0001973
High mobility group protein B1,P09429,"Alcoholic Intoxication, Chronic",C0001973
Signal transducer and activator of transcription 3,P40763,"Alcoholic Intoxication, Chronic",C0001973
Pro-neuropeptide Y,P01303,"Alcoholic Intoxication, Chronic",C0001973
Cytochrome P450 2E1,P05181,"Alcoholic Intoxication, Chronic",C0001973
Cytochrome P450 2B6,P20813,"Alcoholic Intoxication, Chronic",C0001973
Potassium channel subfamily K member 3,O14649,"Alcoholic Intoxication, Chronic",C0001973
Neuronal acetylcholine receptor subunit beta-4,P30926,"Alcoholic Intoxication, Chronic",C0001973
Neuronal acetylcholine receptor subunit alpha-3,P32297,"Alcoholic Intoxication, Chronic",C0001973
Neuronal acetylcholine receptor subunit alpha-5,P30532,"Alcoholic Intoxication, Chronic",C0001973
Neuronal acetylcholine receptor subunit beta-3,Q05901,"Alcoholic Intoxication, Chronic",C0001973
"Fatty acid-binding protein, intestinal",P12104,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-2,P18507,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-3,Q99928,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit rho-2,P28476,"Alcoholic Intoxication, Chronic",C0001973
BDNF/NT-3 growth factors receptor,Q16620,"Alcoholic Intoxication, Chronic",C0001973
Adenylate cyclase type 5,O95622,"Alcoholic Intoxication, Chronic",C0001973
Lysozyme C,P61626,"Alcoholic Intoxication, Chronic",C0001973
Mitogen-activated protein kinase 8,P45983,"Alcoholic Intoxication, Chronic",C0001973
Calcium/calmodulin-dependent protein kinase type IV,Q16566,"Alcoholic Intoxication, Chronic",C0001973
Calcium/calmodulin-dependent protein kinase type II subunit alpha,Q9UQM7,"Alcoholic Intoxication, Chronic",C0001973
"HLA class I histocompatibility antigen, B-27 alpha chain",P01889,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase [NADP(+)],P14550,"Alcoholic Intoxication, Chronic",C0001973
Acyl-CoA-binding protein,P07108,"Alcoholic Intoxication, Chronic",C0001973
"Enoyl-CoA hydratase, mitochondrial",P30084,"Alcoholic Intoxication, Chronic",C0001973
Hepatocyte growth factor-regulated tyrosine kinase substrate,O14964,"Alcoholic Intoxication, Chronic",C0001973
Myc proto-oncogene protein,P01106,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-1 alpha,P01583,"Alcoholic Intoxication, Chronic",C0001973
Interleukin-1 receptor antagonist protein,P18510,"Alcoholic Intoxication, Chronic",C0001973
"HLA class II histocompatibility antigen, DR alpha chain",P01903,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-1,P14867,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-2,P47869,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-5,P31644,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit alpha-6,Q16445,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-1,P18505,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-2,P47870,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit beta-3,P28472,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-2,P18507,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit gamma-3,Q99928,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 1",Q05586,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2A",Q12879,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2B",Q13224,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 2C",Q14957,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1A,P08908,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1B,P28222,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1E,P28566,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2A,P28223,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2C,P28335,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 3A,P46098,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 3B,O95264,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 7,P34969,"Alcoholic Intoxication, Chronic",C0001973
Alpha-2A adrenergic receptor,P08913,"Alcoholic Intoxication, Chronic",C0001973
Cytochrome P450 3A5,P20815,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2A,P28223,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 2C,P28335,"Alcoholic Intoxication, Chronic",C0001973
3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405,"Alcoholic Intoxication, Chronic",C0001973
3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213,"Alcoholic Intoxication, Chronic",C0001973
Alpha-2A adrenergic receptor,P08913,"Alcoholic Intoxication, Chronic",C0001973
D(1A) dopamine receptor,P21728,"Alcoholic Intoxication, Chronic",C0001973
Muscarinic acetylcholine receptor M2,P08172,"Alcoholic Intoxication, Chronic",C0001973
Muscarinic acetylcholine receptor M5,P08912,"Alcoholic Intoxication, Chronic",C0001973
