Drug name,DrugBank ID,ProteinName,UniProt ID
Alitretinoin,DB00523,Pregnancy-specific beta-1-glycoprotein 5,Q15238
Alitretinoin,DB00523,Cytochrome P450 26C1,Q6V0L0
Allopurinol,DB00437,Xanthine dehydrogenase/oxidase,P47989
Almotriptan,DB00918,5-hydroxytryptamine receptor 1D,P28221
Almotriptan,DB00918,5-hydroxytryptamine receptor 1B,P28222
Alosetron,DB00969,5-hydroxytryptamine receptor 3A,P46098
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit delta,O14764
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit pi,O00591
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Alprazolam,DB00404,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Amantadine,DB00915,Matrix protein 2,P21430
Amantadine,DB00915,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Amantadine,DB00915,D(2) dopamine receptor,P14416
Amantadine,DB00915,Neuronal acetylcholine receptor subunit alpha-7,P36544
Amantadine,DB00915,Neuronal acetylcholine receptor subunit alpha-4,P43681
Amantadine,DB00915,Neuronal acetylcholine receptor subunit alpha-3,P32297
Ambenonium,DB01122,Acetylcholinesterase,P22303
Amifostine,DB01143,"Alkaline phosphatase, placental-like",P10696
Amiloride,DB00594,Amiloride-sensitive sodium channel subunit alpha,P37088
Amiloride,DB00594,Amiloride-sensitive sodium channel subunit beta,P51168
Amiloride,DB00594,Amiloride-sensitive sodium channel subunit gamma,P51170
Amiloride,DB00594,Amiloride-sensitive sodium channel subunit delta,P51172
Amiloride,DB00594,Amiloride-sensitive amine oxidase [copper-containing],P19801
Amiloride,DB00594,Acid-sensing ion channel 2,Q16515
Amiloride,DB00594,Acid-sensing ion channel 1,P78348
Amiloride,DB00594,Sodium/hydrogen exchanger 1,P19634
Amiloride,DB00594,Urokinase-type plasminogen activator,P00749
Aminoglutethimide,DB00357,Aromatase,P11511
Aminoglutethimide,DB00357,"Cholesterol side-chain cleavage enzyme, mitochondrial",P05108
Aminophylline,DB01223,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Q14432
Aminophylline,DB01223,Adenosine receptor A1,P30542
Aminophylline,DB01223,Adenosine receptor A3,P0DMS8
Aminophylline,DB01223,Histone deacetylase 2,Q92769
Amiodarone,DB01118,Potassium voltage-gated channel subfamily H member 2,Q12809
Amiodarone,DB01118,Potassium voltage-gated channel subfamily H member 6,Q9H252
Amiodarone,DB01118,Potassium voltage-gated channel subfamily H member 7,Q9NS40
Amiodarone,DB01118,Beta-1 adrenergic receptor,P08588
Amiodarone,DB01118,Beta-2 adrenergic receptor,P07550
Amiodarone,DB01118,Beta-3 adrenergic receptor,P13945
Amiodarone,DB01118,Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit alpha-1F,O60840
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit beta-1,Q02641
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit beta-2,Q08289
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit beta-3,P54284
Amiodarone,DB01118,Voltage-dependent L-type calcium channel subunit beta-4,O00305
Amiodarone,DB01118,Thyroid hormone receptor alpha,P10827
Amiodarone,DB01118,Thyroid hormone receptor beta,P10828
Amiodarone,DB01118,Peroxisome proliferator-activated receptor gamma,P37231
Amiodarone,DB01118,Peroxisome proliferator-activated receptor alpha,Q07869
Amiodarone,DB01118,Peroxisome proliferator-activated receptor gamma coactivator 1-beta,Q86YN6
Amitriptyline,DB00321,Sodium-dependent noradrenaline transporter,P23975
Amitriptyline,DB00321,Sodium-dependent serotonin transporter,P31645
Amitriptyline,DB00321,5-hydroxytryptamine receptor 2A,P28223
Amitriptyline,DB00321,5-hydroxytryptamine receptor 1A,P08908
Amitriptyline,DB00321,Delta-type opioid receptor,P41143
Amitriptyline,DB00321,Kappa-type opioid receptor,P41145
Amitriptyline,DB00321,High affinity nerve growth factor receptor,P04629
Amitriptyline,DB00321,BDNF/NT-3 growth factors receptor,Q16620
Amitriptyline,DB00321,Alpha-1A adrenergic receptor,P35348
Amitriptyline,DB00321,Alpha-1D adrenergic receptor,P25100
Amitriptyline,DB00321,Alpha-2A adrenergic receptor,P08913
Amitriptyline,DB00321,Histamine H1 receptor,P35367
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily KQT member 2,O43526
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily A member 1,Q09470
Amitriptyline,DB00321,Histamine H2 receptor,P25021
Amitriptyline,DB00321,Histamine H4 receptor,Q9H3N8
Amitriptyline,DB00321,Sigma non-opioid intracellular receptor 1,Q99720
Amitriptyline,DB00321,5-hydroxytryptamine receptor 2C,P28335
Amitriptyline,DB00321,Alpha-1B adrenergic receptor,P35368
Amitriptyline,DB00321,5-hydroxytryptamine receptor 7,P34969
Amitriptyline,DB00321,5-hydroxytryptamine receptor 1D,P28221
Amitriptyline,DB00321,Mu-type opioid receptor,P35372
Amitriptyline,DB00321,5-hydroxytryptamine receptor 1B,P28222
Amitriptyline,DB00321,5-hydroxytryptamine receptor 6,P50406
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily KQT member 3,O43525
Amitriptyline,DB00321,5-hydroxytryptamine receptor 2C,P08909
Amitriptyline,DB00321,Muscarinic acetylcholine receptor M1,P11229
Amitriptyline,DB00321,Muscarinic acetylcholine receptor M2,P08172
Amitriptyline,DB00321,Muscarinic acetylcholine receptor M3,P20309
Amitriptyline,DB00321,Muscarinic acetylcholine receptor M4,P08173
Amitriptyline,DB00321,Muscarinic acetylcholine receptor M5,P08912
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily H member 2,Q12809
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily H member 6,Q9H252
Amitriptyline,DB00321,Potassium voltage-gated channel subfamily H member 7,Q9NS40
Amlodipine,DB00381,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
Amlodipine,DB00381,Voltage-dependent L-type calcium channel subunit beta-1,Q02641
Amlodipine,DB00381,Voltage-dependent N-type calcium channel subunit alpha-1B,Q00975
Amlodipine,DB00381,Voltage-dependent calcium channel subunit alpha-2/delta-3,Q8IZS8
Amlodipine,DB00381,Carbonic anhydrase 1,P00915
Amlodipine,DB00381,Sphingomyelin phosphodiesterase,P17405
Amlodipine,DB00381,Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4
Amlodipine,DB00381,Voltage-dependent N-type calcium channel subunit alpha,A0A024R8I1
Amlodipine,DB00381,Voltage-dependent N-type calcium channel subunit alpha-1B,Q00975
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Amobarbital,DB01351,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Amobarbital,DB01351,Neuronal acetylcholine receptor subunit alpha-4,P43681
Amobarbital,DB01351,Neuronal acetylcholine receptor subunit alpha-7,P36544
Amobarbital,DB01351,Glutamate receptor 2,P42262
Amobarbital,DB01351,"Glutamate receptor ionotropic, kainate 2",Q13002
Amphetamine,DB00182,Synaptic vesicular amine transporter,Q05940
Amphetamine,DB00182,Sodium-dependent dopamine transporter,Q01959
Amphetamine,DB00182,Cocaine- and amphetamine-regulated transcript protein,Q16568
Amphetamine,DB00182,Trace amine-associated receptor 1,Q96RJ0
Amphetamine,DB00182,Sodium-dependent noradrenaline transporter,P23975
Amphetamine,DB00182,Alpha-1A adrenergic receptor,P35348
Amphetamine,DB00182,Alpha-1B adrenergic receptor,P35368
Amphetamine,DB00182,Alpha-1D adrenergic receptor,P25100
Amphetamine,DB00182,Alpha-2A adrenergic receptor,P08913
Amphetamine,DB00182,Alpha-2B adrenergic receptor,P18089
Amphetamine,DB00182,Alpha-2C adrenergic receptor,P18825
Amphetamine,DB00182,Beta-1 adrenergic receptor,P08588
Amphetamine,DB00182,Beta-2 adrenergic receptor,P07550
Amphetamine,DB00182,Beta-3 adrenergic receptor,P13945
Amphetamine,DB00182,D(2) dopamine receptor,P14416
Amphetamine,DB00182,Amine oxidase [flavin-containing] B,P27338
Amphetamine,DB00182,Sodium-dependent serotonin transporter,P31645
Amphetamine,DB00182,Amine oxidase [flavin-containing] A,P21397
Amphetamine,DB00182,Amine oxidase [flavin-containing] B,P27338
Amphetamine,DB00182,Vesicle monoamine transporter type 2,Q99870
Amrinone,DB01427,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Q14432
Amrinone,DB01427,Tumor necrosis factor,P01375
Amrinone,DB01427,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Q13370
Amrinone,DB01427,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",P27815
Amrinone,DB01427,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Q07343
Amrinone,DB01427,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Q08493
Amrinone,DB01427,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Q08499
Anastrozole,DB01217,Aromatase,P11511
Anisindione,DB01125,Vitamin K-dependent gamma-carboxylase,P38435
Apomorphine,DB00714,D(4) dopamine receptor,P21917
Apomorphine,DB00714,D(2) dopamine receptor,P14416
Apomorphine,DB00714,D(3) dopamine receptor,P35462
Apomorphine,DB00714,D(1B) dopamine receptor,P21918
Apomorphine,DB00714,D(1A) dopamine receptor,P21728
Apomorphine,DB00714,Alpha-2C adrenergic receptor,P18825
Apomorphine,DB00714,Alpha-2B adrenergic receptor,P18089
Apomorphine,DB00714,5-hydroxytryptamine receptor 1A,P08908
Apomorphine,DB00714,5-hydroxytryptamine receptor 2A,P28223
Apomorphine,DB00714,5-hydroxytryptamine receptor 2B,P41595
Apomorphine,DB00714,5-hydroxytryptamine receptor 2C,P28335
Apomorphine,DB00714,Alpha-2A adrenergic receptor,P08913
Apomorphine,DB00714,5-hydroxytryptamine receptor 1D,P28221
Apomorphine,DB00714,5-hydroxytryptamine receptor 1B,P28222
Ardeparin,DB00407,Antithrombin-III,P01008
Ardeparin,DB00407,Heparin cofactor 2,P05546
Argatroban,DB00278,Prothrombin,P00734
Aripiprazole,DB01238,5-hydroxytryptamine receptor 1A,P08908
Aripiprazole,DB01238,D(2) dopamine receptor,P14416
Aripiprazole,DB01238,5-hydroxytryptamine receptor 2A,P28223
Aripiprazole,DB01238,Alpha-1A adrenergic receptor,P35348
Aripiprazole,DB01238,Alpha-1B adrenergic receptor,P35368
Aripiprazole,DB01238,D(3) dopamine receptor,P35462
Aripiprazole,DB01238,5-hydroxytryptamine receptor 1D,P28221
Aripiprazole,DB01238,5-hydroxytryptamine receptor 7,P34969
Aripiprazole,DB01238,Alpha-2A adrenergic receptor,P08913
Aripiprazole,DB01238,Alpha-2C adrenergic receptor,P18825
Aripiprazole,DB01238,Histamine H1 receptor,P35367
Aripiprazole,DB01238,5-hydroxytryptamine receptor 1B,P28222
Aripiprazole,DB01238,5-hydroxytryptamine receptor 2C,P28335
Aripiprazole,DB01238,5-hydroxytryptamine receptor 3A,P46098
Aripiprazole,DB01238,5-hydroxytryptamine receptor 6,P50406
Aripiprazole,DB01238,D(1A) dopamine receptor,P21728
Aripiprazole,DB01238,D(4) dopamine receptor,P21917
Aripiprazole,DB01238,Alpha-2B adrenergic receptor,P18089
Aripiprazole,DB01238,5-hydroxytryptamine receptor 1E,P28566
Aripiprazole,DB01238,D(1B) dopamine receptor,P21918
Aripiprazole,DB01238,5-hydroxytryptamine receptor 2B,P41595
Aripiprazole,DB01238,5-hydroxytryptamine receptor 5A,P47898
Aripiprazole,DB01238,Beta-1 adrenergic receptor,P08588
Aripiprazole,DB01238,Beta-2 adrenergic receptor,P07550
Aripiprazole,DB01238,Histamine H2 receptor,P25021
Aripiprazole,DB01238,Histamine H3 receptor,Q9Y5N1
Aripiprazole,DB01238,Histamine H4 receptor,Q9H3N8
Aripiprazole,DB01238,Muscarinic acetylcholine receptor M1,P11229
Aripiprazole,DB01238,Muscarinic acetylcholine receptor M2,P08172
Aripiprazole,DB01238,Muscarinic acetylcholine receptor M3,P20309
Aripiprazole,DB01238,Muscarinic acetylcholine receptor M4,P08173
Aripiprazole,DB01238,Muscarinic acetylcholine receptor M5,P08912
Aripiprazole,DB01238,Kappa-type opioid receptor,P41145
Aripiprazole,DB01238,Mu-type opioid receptor,P35372
Aripiprazole,DB01238,Delta-type opioid receptor,P41143
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 1",Q05586
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 2D",O15399
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Aripiprazole,DB01238,"Glutamate receptor ionotropic, NMDA 3B",O60391
Aripiprazole,DB01238,Sodium-dependent dopamine transporter,Q01959
Aripiprazole,DB01238,Sodium-dependent serotonin transporter,P31645
Astemizole,DB00637,Histamine H1 receptor,P35367
Astemizole,DB00637,Potassium voltage-gated channel subfamily H member 2,Q12809
Astemizole,DB00637,Potassium voltage-gated channel subfamily H member 1,O95259
Astemizole,DB00637,Microtubule-associated protein tau,P10636
Atazanavir,DB01072,Pol polyprotein,Q72874
Atenolol,DB00335,Beta-1 adrenergic receptor,P08588
Atenolol,DB00335,Beta-2 adrenergic receptor,P07550
Atomoxetine,DB00289,Sodium-dependent noradrenaline transporter,P23975
Atomoxetine,DB00289,Sodium-dependent serotonin transporter,P31645
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 1",Q05586
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 2D",O15399
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Atomoxetine,DB00289,"Glutamate receptor ionotropic, NMDA 3B",O60391
Atomoxetine,DB00289,G protein-activated inward rectifier potassium channel 1,P48549
Atomoxetine,DB00289,Kappa-type opioid receptor,P41145
Atorvastatin,DB01076,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035
Atorvastatin,DB01076,Dipeptidyl peptidase 4,P27487
Atorvastatin,DB01076,Aryl hydrocarbon receptor,P35869
Atorvastatin,DB01076,Histone deacetylase 2,Q92769
Atorvastatin,DB01076,Nuclear receptor subfamily 1 group I member 3,Q14994
Atropine,DB00572,Muscarinic acetylcholine receptor M1,P11229
Atropine,DB00572,Muscarinic acetylcholine receptor M2,P08172
Atropine,DB00572,Muscarinic acetylcholine receptor M3,P20309
Atropine,DB00572,Muscarinic acetylcholine receptor M4,P08173
Atropine,DB00572,Muscarinic acetylcholine receptor M5,P08912
Atropine,DB00572,Glycine receptor subunit alpha-1,P23415
Atropine,DB00572,Neuronal acetylcholine receptor subunit alpha-4,P43681
Atropine,DB00572,Neuronal acetylcholine receptor subunit beta-2,P17787
Auranofin,DB00995,"Peroxiredoxin-5, mitochondrial",P30044
Auranofin,DB00995,Inhibitor of nuclear factor kappa-B kinase subunit beta,O14920
Azacitidine,DB00928,DNA (cytosine-5)-methyltransferase 1,P26358
Azathioprine,DB00993,Ras-related C3 botulinum toxin substrate 1,P63000
Baclofen,DB00181,Gamma-aminobutyric acid type B receptor subunit 1,Q9UBS5
Baclofen,DB00181,Gamma-aminobutyric acid type B receptor subunit 2,O75899
Balsalazide,DB01014,Peroxisome proliferator-activated receptor gamma,P37231
Balsalazide,DB01014,Prostaglandin G/H synthase 2,P35354
Balsalazide,DB01014,Prostaglandin G/H synthase 1,P23219
Balsalazide,DB01014,Arachidonate 5-lipoxygenase,P09917
Benazepril,DB00542,Angiotensin-converting enzyme,P12821
Bendroflumethiazide,DB00436,Solute carrier family 12 member 3,P55017
Bendroflumethiazide,DB00436,Calcium-activated potassium channel subunit alpha-1,Q12791
Bendroflumethiazide,DB00436,Carbonic anhydrase 1,P00915
Bendroflumethiazide,DB00436,Carbonic anhydrase 2,P00918
Bendroflumethiazide,DB00436,Carbonic anhydrase 4,P22748
Benzocaine,DB01086,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Benzonatate,DB00868,Sodium channel protein type 5 subunit alpha,Q14524
Benzphetamine,DB00865,Synaptic vesicular amine transporter,Q05940
Benzphetamine,DB00865,Alpha-2A adrenergic receptor,P08913
Benzphetamine,DB00865,Alpha-1A adrenergic receptor,P35348
Benzphetamine,DB00865,Sodium-dependent dopamine transporter,Q01959
Benzquinamide,DB00767,Histamine H1 receptor,P35367
Benzquinamide,DB00767,Muscarinic acetylcholine receptor M4,P08173
Benzquinamide,DB00767,Muscarinic acetylcholine receptor M1,P11229
Benzquinamide,DB00767,Muscarinic acetylcholine receptor M5,P08912
Benzquinamide,DB00767,Muscarinic acetylcholine receptor M2,P08172
Benzquinamide,DB00767,Muscarinic acetylcholine receptor M3,P20309
Bepridil,DB01244,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555
Bepridil,DB01244,Voltage-dependent T-type calcium channel subunit alpha-1H,O95180
Bepridil,DB01244,Voltage-dependent calcium channel subunit alpha-2/delta-2,Q9NY47
Bepridil,DB01244,Sodium/potassium-transporting ATPase subunit alpha-1,P05023
Bepridil,DB01244,Potassium voltage-gated channel subfamily KQT member 1,P51787
Bepridil,DB01244,"Troponin C, slow skeletal and cardiac muscles",P63316
Bepridil,DB01244,Calmodulin,P0DP23
Bepridil,DB01244,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Q01064
Bepridil,DB01244,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",P54750
Bepridil,DB01244,Potassium voltage-gated channel subfamily H member 2,Q12809
Betamethasone,DB00443,Glucocorticoid receptor,P04150
Betaxolol,DB00195,Beta-1 adrenergic receptor,P08588
Betaxolol,DB00195,Beta-2 adrenergic receptor,P07550
Bethanechol,DB01019,Muscarinic acetylcholine receptor M2,P08172
Bethanechol,DB01019,Muscarinic acetylcholine receptor M1,P11229
Bethanechol,DB01019,Muscarinic acetylcholine receptor M3,P20309
Bethanechol,DB01019,Muscarinic acetylcholine receptor M4,P08173
Bexarotene,DB00307,Retinoic acid receptor RXR-alpha,P19793
Bexarotene,DB00307,Retinoic acid receptor RXR-beta,P28702
Bexarotene,DB00307,Retinoic acid receptor RXR-gamma,P48443
Bicalutamide,DB01128,Androgen receptor,P10275
Bimatoprost,DB00905,Prostaglandin E2 receptor EP1 subtype,P34995
Bimatoprost,DB00905,Prostaglandin F2-alpha receptor,P43088
Bimatoprost,DB00905,Prostaglandin E2 receptor EP3 subtype,P43115
Biperiden,DB00810,Muscarinic acetylcholine receptor M1,P11229
Bisoprolol,DB00612,Beta-1 adrenergic receptor,P08588
Bisoprolol,DB00612,Beta-2 adrenergic receptor,P07550
Bitolterol,DB00901,Beta-2 adrenergic receptor,P07550
Bleomycin,DB00290,DNA ligase 1,P18858
Bleomycin,DB00290,DNA ligase 3,P49916
Bortezomib,DB00188,Proteasome subunit beta type-5,P28074
Bortezomib,DB00188,Proteasome subunit beta type-1,P20618
Bosentan,DB00559,Endothelin B receptor,P24530
Bosentan,DB00559,Endothelin-1 receptor,P25101
Brimonidine,DB00484,Alpha-2A adrenergic receptor,P08913
Brimonidine,DB00484,Alpha-2C adrenergic receptor,P18825
Brimonidine,DB00484,Alpha-2B adrenergic receptor,P18089
Brinzolamide,DB01194,Carbonic anhydrase 2,P00918
Brinzolamide,DB01194,Carbonic anhydrase 1,P00915
Brinzolamide,DB01194,Carbonic anhydrase 4,P22748
Brinzolamide,DB01194,"Carbonic anhydrase 5A, mitochondrial",P35218
Brinzolamide,DB01194,Carbonic anhydrase 3,P07451
Bromfenac,DB00963,Prostaglandin G/H synthase 2,P35354
Bromfenac,DB00963,Prostaglandin G/H synthase 1,P23219
Bromocriptine,DB01200,D(2) dopamine receptor,P14416
Bromocriptine,DB01200,D(3) dopamine receptor,P35462
Bromocriptine,DB01200,5-hydroxytryptamine receptor 1D,P28221
Bromocriptine,DB01200,Alpha-2A adrenergic receptor,P08913
Bromocriptine,DB01200,5-hydroxytryptamine receptor 1A,P08908
Bromocriptine,DB01200,Alpha-2C adrenergic receptor,P18825
Bromocriptine,DB01200,Alpha-2B adrenergic receptor,P18089
Bromocriptine,DB01200,5-hydroxytryptamine receptor 2B,P41595
Bromocriptine,DB01200,D(4) dopamine receptor,P21917
